video_id,video_title,video_url,type_name,cid,video_time,redis_task_id,is_download,add_time
52978142,【神奇】豆瓣7.2分：儿媳爱上婆婆上演亲密大戏？史上最羞耻泰剧《过界的爱》！,https://www.bilibili.com/video/av52978142,影视|影视杂谈|爱情,92693200,268,,f,2019/6/5
53009670,【加勒比海盗系列/混剪/踩点/高燃】Hoist the colors!【他们太棒啦】,https://www.bilibili.com/video/av53009670,影视|影视剪辑|混剪,92743015,177,,f,2019/6/5
53012461,高考应援｜我们终将无所畏惧,https://www.bilibili.com/video/av53012461,影视|影视剪辑|混剪,92740654,196,,f,2019/6/5
53027886,【欧美/漫威混剪】 妈 问 跪 踩 点 混 剪（耳机党福利）！！！,https://www.bilibili.com/video/av53027886,影视|影视剪辑|影视剪辑,92775301,162,,f,2019/6/5
53031387,权力的游戲 第八季 第六集 大结局 一代神剧终烂尾,https://www.bilibili.com/video/av53031387,影视|影视杂谈|吐槽,92781634,106,,f,2019/6/5
53056261,【末日飞船】周深&唐汉霄神级合唱现场搭配电影《流浪地球》剪辑,https://www.bilibili.com/video/av53056261,影视|影视剪辑|电影,92823293,241,,f,2019/6/5
53058211,回味经典520:《放牛班的春天》名场面！这渗透灵魂的歌声让地狱化为天堂！@油兔不二字幕组,https://www.bilibili.com/video/av53058211,影视|影视剪辑|经典,92828790,248,,f,2019/6/5
53064704,复联1洛基没看过的片段，loki那个时候还不是逗比！无愧诡计之神的称号,https://www.bilibili.com/video/av53064704,影视|影视剪辑|电影剪辑,92838836,109,,f,2019/6/5
53066725,【节奏向/高甜预警】520甜蜜电影混剪！偷偷转发给喜欢的人吧,https://www.bilibili.com/video/av53066725,影视|影视剪辑|混剪,92843529,188,,f,2019/6/5
53097944,未来世界，氧气成了奢侈品，吸一分钟干净的空气，要花费1美元,https://www.bilibili.com/video/av53097944,影视|影视杂谈|电影剪辑,92897589,146,,f,2019/6/5
53111830,【巍澜衍生】【生非 | 双罗】黑童话狗血剧情《被掩藏的守护》,https://www.bilibili.com/video/av53111830,影视|影视剪辑|影视剪辑,92918740,266,,f,2019/6/5
